id_kaidah,kategori_utama,sub_kaidah,keterangan_resmi,kriteria_penilaian,nama_lain,typo_asr
23,C. Hukum Mim Sukun,Ikhfa Syafawi,Mim Sukun Bertemu huruf ba,"Bunyi samar, bibir tertutup ringan, dengung 2 harakat","ikhfa syafawi, ihfa syafawi, ikfa syafawi, ikhfa syafawy, ihfa syafawy, hukum ikhfa syafawi","ihfa syafawi, ikfa syafawi, ikhfa safawi, ihfa safawi, ikfa safawi, ikhfa syafawy"
24,D. Qalqalah,Qalqalah Sughra,Huruf qaf/tha/ba/jim/dal sukun asli di tengah kata,"dibaca dengan Pantulan ringan, tanpa tambahan harakat","qalqalah sughra, kalaukalah sugra, qolqolah sughra, qalqalah sugro, qolqolah sugro, qalqalah sughroh","kalaukalah, kalaukalah sugra, qolqolah sugro, qalqalah sugra, qolqolah sughra, qalqalah sugroh"
25,D. Qalqalah,Qalqalah Kubra,Huruf qaf/tha/ba/jim/dal ada di akhir kata saat waqaf,"dibaca dengan Pantulan jelas dan kuat, tanpa bunyi vokal tambahan (diakhir bunyi tdk ditutup seperti ada hamzah sukun)","qalqalah kubra, kalaukalah kubra, qolqolah kubra, qalqalah kubro, qolqolah kubro, qalqalah kubroh","kalaukalah kubra, kalaukalah kubro, qolqolah kubro, qalqalah kubro, qolqolah kubra, qalqalah kubroh"
26,E. Ghunnah,Ghunnah Musyaddadah,Huruf nun atau mim bertasydid,"Dengung penuh dari hidung (khaisyum), stabil 2 harakat","ghunnah, ghunnah musyaddadah, gunnah musyaddadah, ghunnah musyadadah, gunnah musyadadah, hukum ghunnah","gunnah musyaddadah, ghunnah musyadadah, gunnah musyadadah, ghuna musyaddadah, guna musyaddadah"
27,F. Hukum Lam & Ra,Lafzul Jalalah (Allah),"Tafkhim jika didahului fathah/dhommah, tarqiq jika didahului kasrah",Konsistensi tebal/tipis sesuai harakat sebelumnya,"lafzul jalalah, lafaz jalalah, hukum lam tafkhim tarqiq, lam jalalah, lafadz allah, hukum lafzul jalalah","lafaz jalalah, lafadz jalalah, lam jalalah, lafaz allah, lafadz allah, lafzul jalalahh"
28,F. Hukum Lam & Ra,Hukum Ra,"Tebal jika fathah/dhommah/sukun-setelah-fathah, tipis jika kasrah/sukun-setelah-kasrah","Ketebalan suara disesuaikan konteks, bukan disamaratakan","hukum ra, ra tafkhim, ra tarqiq, ra tebal, ra tipis, bacaan ra, hukum ra tafkhim tarqiq","ro tafkhim, ro tarqiq, ra tafhim, ra tarkik, ro tebal, ro tipis, hukum ro, bacaan ro"
29,G. Idhgam,Idgham Mutamatsilain,"Memasukkan huruf ke dalam huruf yang sama makhraj dan sifatnya (huruf serupa), selain ya/wawu",Huruf kedua dibaca seakan bertasydid,"idgham mutamatsilain, idgham mutamatsilain shaghir, idgham mitsli, idgham mitslain, hukum idgham mutamatsilain","idgom mutamatsilain, idgham mutamatsil, idgom mutamatsil, idgham mutamatilain, idgom mutamatilain"
30,G. Idhgam,Idgham Mutajanisain,Memasukkan huruf ke dalam huruf yang sama makhraj namun lain sifat,ط sukun bertemu ت Maka qalqalahnya hilang namun tetap tebal,"idgham mutajanisain, idgham mutajanis, hukum idgham mutajanisain, idgham mutajanisain shaghir","idgom mutajanisain, idgham mutajanis, idgom mutajanis, idgham mutajenisain, idgom mutajenisain"
31,G. Idhgam,Idgham Mutaqaribain,Memasukkan huruf ke dalam huruf yang berdekatan makhraj dan sifatnya,"ق sukun dileburkan ke huruf ك tanpa qolqolah, ل sukun dileburkan ke huruf ر tanpa membunyikan laam","idgham mutaqaribain, idgham mutaqarib, hukum idgham mutaqaribain, idgham mutaqaribain shaghir","idgom mutaqaribain, idgham mutaqarib, idgom mutaqarib, idgham mutaqoribain, idgom mutaqoribain"
32,H. Laam Ta'rief,Idzhar Qomariyah,Bila Laam Ta'rief ال bertemu 14 huruf أبغ حخك وخف عقيمه,ال harus terbaca jelas,"idzhar qomariyah, izhar qomariyah, qomariyah, al qamariyah, al-qamariyah, idzhar qamariyah","izhar qomariyah, idhar qomariyah, idzhar kamariyah, izhar kamariyah, idhar kamariyah, idzhar qomaria"
33,H. Laam Ta'rief,Idgham Syamsyiah,Bila Laam Ta'rief ال bertemuc14 huruf selain huruf qomariyah,ال tidak terbaca karena di idghamkan langsung ke huruf syamsyiah,"idgham syamsyiah, idgom syamsyiah, syamsyiah, al syamsyiah, al-syamsyiah, idgham syamsiah","idgom syamsyiah, idgham syamsiah, idgom syamsiah, idgham syamsiyah, idgom syamsiyah, idgham syamsia"
